action_type,action_code,abbreviation,communities,consumer_tags_AML,consumer_tags_Finance,consumer_tags_Regulatory,date_range_function,header_information_header_support,header_information_no_header_column,parents,pii_information_csv_column_encryption,pii_information_decrypt_method,pii_information_encryption_support,query_reference_database_name,query_reference_query,query_reference_query_version,report_file_name_pattern,report_name,schedule_crontab,schedule_timezone,start_date,_row_index,dataset,source_system
SENSOR,retail_sport_pool_transaction,RSPTS,,,,,get_current_date_6am,,,,,,,SDP,"SELECT exists (SELECT 1 FROM   SDP.RETAIL_MART.RETAIL_SPORT_POOL_TRANSACTION S JOIN SDP.CORE.DOMAIN D ON D.DOMAIN_ID=S.DOMAIN_ID WHERE  domain_code = '{{ DomainCd }}' and   GAMING_DATE >= dateadd(day,-1,'{{ To_date }}'::date) );",,,,5 17 * * *,Etc/UTC,,49,retail_sport_pool_transaction,BE
REPORT,retail_sports_pool_results_report_per_community,RSPRRPCE,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_date_6am,CsvHeader(),False,retail_sports_pool_results_report,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Daily/RPT_Retail_Sports_Pool_Results_Ticket_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Retail_Sports_Pool_Results_Per_Community/{ed_year}/{ed_month}/{ed_day}/retail-sports-pool-results-ticket-report-{community}-{fd_year}-{fd_month}-{fd_day}.csv,Retail Sports Pool Results Report Per Community,5 17 * * *,Etc/UTC,2024-11-29 15:05:00,50,,
REPORT,retail_sports_pool_transaction_per_community_month_to_date,RSPTPCMTD,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_month_to_date_6am,PdfHeader(),False,retail_sports_pool_transaction_report,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Daily/RPT_Retail_Sport_Transaction_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Retail_Sport_Pool_Transaction_Per_Community_Month_To_Date/{ed_year}/{ed_month}/{ed_day}/retail-sport-pool-transaction-report-{community}-Month_To-Date-{fd_year}-{fd_month}-{fd_day}-to-{ed_year}-{ed_month}-{ed_day}.csv,Retail Sports Pool Transaction Report Per Community Month To Date,35 17 * * *,Etc/UTC,2024-11-29 15:35:00,51,,
REPORT,retail_sports_pool_transaction_report,RSPTR,,False,True,False,get_current_date_6am,CsvHeader(),False,retail_sport_pool_transaction,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Daily/RPT_Retail_Sport_Transaction.sql,v2.6.1_1.9_1.0,AZ/Retail_Sport_Pool_Transaction/{ed_year}/{ed_month}/{ed_day}/retail-sport-pool-transaction-report-{fd_year}-{fd_month}-{fd_day}.csv,Retail Sports Pool Transaction Report,5 17 * * *,Etc/UTC,2024-11-29 15:05:00,52,,
REPORT,retail_sports_pool_transaction_report_per_community,RSPTRPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_date_6am,CsvHeader(),False,retail_sports_pool_transaction_report,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Daily/RPT_Retail_Sport_Transaction_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Retail_Sport_Pool_Transaction_Per_Community/{ed_year}/{ed_month}/{ed_day}/retail-sport-pool-transaction-report-{community}-{fd_year}-{fd_month}-{fd_day}.csv,Retail Sports Pool Transaction Report Per Community,5 17 * * *,Etc/UTC,2024-11-29 15:05:00,53,,
REPORT,retail_sports_pool_voided_ticket_report,RSPVTR,,False,True,False,get_current_date_6am,PdfHeader(),False,retail_recap_bets,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Daily/RPT_Retail_Sports_Voided_Ticket.sql,v2.6.1_1.9_1.0,AZ/Retail_Sports_Pool_Voided_Ticket/{ed_year}/{ed_month}/{ed_day}/retail-sports-pool-voided-ticket-report-{fd_year}-{fd_month}-{fd_day}.csv,Retail Sports Pool Voided Report,5 17 * * *,Etc/UTC,2024-11-29 15:05:00,54,,
REPORT,retail_sports_pool_voided_ticket_report_per_community,RSPVTRPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_date_6am,PdfHeader(),False,retail_sports_pool_voided_ticket_report,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Daily/RPT_Retail_Sports_Voided_Ticket_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Retail_Sports_Pool_Voided_Ticket_Per_Community/{ed_year}/{ed_month}/{ed_day}/retail-sports-pool-voided-{community}-ticket-report-{fd_year}-{fd_month}-{fd_day}.csv,Retail Sports Pool Voided Report,5 17 * * *,Etc/UTC,2024-11-29 15:05:00,55,,
REPORT,retail_unpaid_ticket_report,RUTR,,False,True,False,get_current_date_6am,CsvHeader(),False,retail_recap_bets,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Daily/RPT_Retail_Unpaid_Ticket.sql,v2.6.1_1.9_1.0,AZ/Retail_Unpaid_Ticket/{ed_year}/{ed_month}/{ed_day}/retail-unpaid-ticket-report-{fd_year}-{fd_month}-{fd_day}.csv,Retail Unpaid Ticket Report,5 17 * * *,Etc/UTC,2024-11-29 15:05:00,56,,
REPORT,retail_unpaid_ticket_report_per_community,RUTRPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_date_6am,CsvHeader(),False,retail_unpaid_ticket_report,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Daily/RPT_Retail_Unpaid_Ticket_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Retail_Unpaid_Ticket_Per_Community/{ed_year}/{ed_month}/{ed_day}/retail-unpaid-ticket-report-{community}-{fd_year}-{fd_month}-{fd_day}.csv,Retail Unpaid Ticket Report Per Community,5 17 * * *,Etc/UTC,2024-11-29 15:05:00,57,,
REPORT,rosi_big_transactions_report_all,RBTRA,,False,True,False,get_current_date_6am,PdfHeader(),False,business_activity,,,,NJ_Prod,./scripts/WH/US_ALL/05_Queries/Report/Rosi/Rosi_Generic_Reporting/RPT_Big_Transactions_All.sql,v2.6.1_1.9_1.0,AZ/Rosi_Big_Transactions_All/{ed_year}/{ed_month}/{ed_day}/Rosi-Big-Transactions-Report-AZ-{ed_month}-{ed_day}-{ed_year}.pdf,Rosi Big Transactions Report All,0 16 * * *,Etc/UTC,2024-12-13 15:00:00,58,,
